file	channels	sample_rate	sample_width_bytes	frames	duration_sec	size_bytes
aperi.wav	1	24000	2	21600	0.9	43244
aperturo.wav	1	24000	2	25920	1.08	51884
apetito.wav	1	24000	2	25800	1.075	51644
aplauxdi.wav	1	24000	2	25920	1.08	51884
apliki.wav	1	24000	2	23040	0.96	46124
apogi.wav	1	24000	2	23520	0.98	47084
apostolo.wav	1	24000	2	28080	1.17	56204
apoteko.wav	1	24000	2	26280	1.095	52604
aprilo.wav	1	24000	2	21600	0.9	43244
apro.wav	1	24000	2	17640	0.735	35324
aprobi.wav	1	24000	2	21840	0.91	43724
apud.wav	1	24000	2	16560	0.69	33164
ar.wav	1	24000	2	10320	0.43	20684
araneo.wav	1	24000	2	22680	0.945	45404
arangxi.wav	1	24000	2	23760	0.99	47564
arbitra.wav	1	24000	2	21960	0.915	43964
arbo.wav	1	24000	2	17280	0.72	34604
arda.wav	1	24000	2	17520	0.73	35084
ardi.wav	1	24000	2	18240	0.76	36524
aresti.wav	1	24000	2	23520	0.98	47084
argxento.wav	1	24000	2	24600	1.025	49244
arko.wav	1	24000	2	18240	0.76	36524
arkta.wav	1	24000	2	21360	0.89	42764
armeo.wav	1	24000	2	20400	0.85	40844
armi.wav	1	24000	2	17400	0.725	34844
armo.wav	1	24000	2	17400	0.725	34844
aro.wav	1	24000	2	14640	0.61	29324
aroganta.wav	1	24000	2	26400	1.1	52844
arterio.wav	1	24000	2	24960	1.04	49964
artiko.wav	1	24000	2	21480	0.895	43004
artikolo.wav	1	24000	2	26880	1.12	53804
arto.wav	1	24000	2	18840	0.785	37724
as.wav	1	24000	2	15480	0.645	31004
asekuri.wav	1	24000	2	26880	1.12	53804
asembleo.wav	1	24000	2	25200	1.05	50444
aserti.wav	1	24000	2	24600	1.025	49244
asfalto.wav	1	24000	2	28680	1.195	57404
asimili.wav	1	24000	2	26880	1.12	53804
asisti.wav	1	24000	2	25680	1.07	51404
asocio.wav	1	24000	2	28920	1.205	57884
aspekti.wav	1	24000	2	26280	1.095	52604
astro.wav	1	24000	2	20880	0.87	41804
astronomio.wav	1	24000	2	32760	1.365	65564
at.wav	1	24000	2	12720	0.53	25484
ataki.wav	1	24000	2	26040	1.085	52124
atendi.wav	1	24000	2	22680	0.945	45404
atenta.wav	1	24000	2	23400	0.975	46844
atesti.wav	1	24000	2	25080	1.045	50204
atingi.wav	1	24000	2	22440	0.935	44924
atlantiko.wav	1	24000	2	28680	1.195	57404
atmosfero.wav	1	24000	2	30840	1.285	61724
atomo.wav	1	24000	2	23280	0.97	46604
aux.wav	1	24000	2	11520	0.48	23084
auxdaca.wav	1	24000	2	26520	1.105	53084
auxdaci.wav	1	24000	2	27360	1.14	54764
auxdi.wav	1	24000	2	19320	0.805	38684
auxgusto.wav	1	24000	2	24720	1.03	49484
auxroro.wav	1	24000	2	20640	0.86	41324
auxskulti.wav	1	24000	2	29520	1.23	59084
auxstralio.wav	1	24000	2	29160	1.215	58364
auxto.wav	1	24000	2	19920	0.83	39884
auxtobuso.wav	1	24000	2	27480	1.145	55004
auxtomato.wav	1	24000	2	28680	1.195	57404
auxtomobilo.wav	1	24000	2	29640	1.235	59324
auxtoritato.wav	1	24000	2	34200	1.425	68444
auxtoro.wav	1	24000	2	23040	0.96	46124
auxtuno.wav	1	24000	2	21720	0.905	43484
avantagxo.wav	1	24000	2	29160	1.215	58364
avara.wav	1	24000	2	21120	0.88	42284
aveno.wav	1	24000	2	21120	0.88	42284
aventuro.wav	1	24000	2	25680	1.07	51404
avenuo.wav	1	24000	2	24120	1.005	48284
averti.wav	1	24000	2	22680	0.945	45404
aviad_ilo.wav	1	24000	2	26160	1.09	52364
aviado.wav	1	24000	2	24600	1.025	49244
avida.wav	1	24000	2	19080	0.795	38204
avo.wav	1	24000	2	15480	0.645	31004
azeno.wav	1	24000	2	22200	0.925	44444
azio.wav	1	24000	2	19200	0.8	38444
babili.wav	1	24000	2	23520	0.98	47084
bacilo.wav	1	24000	2	26400	1.1	52844
bagatelo.wav	1	24000	2	28440	1.185	56924
baki.wav	1	24000	2	20520	0.855	41084
bakterio.wav	1	24000	2	27360	1.14	54764
balai.wav	1	24000	2	22440	0.935	44924
balanci.wav	1	24000	2	26520	1.105	53084
balbuti.wav	1	24000	2	24840	1.035	49724
baldaux.wav	1	24000	2	21000	0.875	42044
baleno.wav	1	24000	2	22440	0.935	44924
baleto.wav	1	24000	2	23880	0.995	47804
balo.wav	1	24000	2	18480	0.77	37004
balono.wav	1	24000	2	22920	0.955	45884
baloti.wav	1	24000	2	25200	1.05	50444
bambuo.wav	1	24000	2	23760	0.99	47564
banala.wav	1	24000	2	24000	1.0	48044
banano.wav	1	24000	2	23280	0.97	46604
bandagxo.wav	1	24000	2	25080	1.045	50204
bani.wav	1	24000	2	20040	0.835	40124
banko.wav	1	24000	2	21120	0.88	42284
banto.wav	1	24000	2	21600	0.9	43244
bapti.wav	1	24000	2	22200	0.925	44444
barakti.wav	1	24000	2	25320	1.055	50684
barbiro.wav	1	24000	2	21480	0.895	43004
barbo.wav	1	24000	2	19080	0.795	38204
barelo.wav	1	24000	2	22080	0.92	44204
barko.wav	1	24000	2	20040	0.835	40124
baro.wav	1	24000	2	17520	0.73	35084
basko.wav	1	24000	2	22320	0.93	44684
bastono.wav	1	24000	2	25920	1.08	51884
batali.wav	1	24000	2	26760	1.115	53564
baterio.wav	1	24000	2	25200	1.05	50444
bati.wav	1	24000	2	20280	0.845	40604
bazaro.wav	1	24000	2	23880	0.995	47804
bazo.wav	1	24000	2	19440	0.81	38924
bebo.wav	1	24000	2	17520	0.73	35084
bedauxri.wav	1	24000	2	24120	1.005	48284
beko.wav	1	24000	2	17760	0.74	35564
bela.wav	1	24000	2	17520	0.73	35084
bendo.wav	1	24000	2	19320	0.805	38684
beni.wav	1	24000	2	18960	0.79	37964
benko.wav	1	24000	2	21120	0.88	42284
benzino.wav	1	24000	2	24720	1.03	49484
bero.wav	1	24000	2	16440	0.685	32924
besto.wav	1	24000	2	21480	0.895	43004
beto.wav	1	24000	2	18240	0.76	36524
betulo.wav	1	24000	2	23160	0.965	46364
bezoni.wav	1	24000	2	25440	1.06	50924
biblio.wav	1	24000	2	22080	0.92	44204
biblioteko.wav	1	24000	2	30840	1.285	61724
biciklo.wav	1	24000	2	26400	1.1	52844
bieno.wav	1	24000	2	21240	0.885	42524
biero.wav	1	24000	2	20520	0.855	41084
bifsteko.wav	1	24000	2	29520	1.23	59084
bildo.wav	1	24000	2	18600	0.775	37244
bileto.wav	1	24000	2	22680	0.945	45404
bindi.wav	1	24000	2	19320	0.805	38684
biologio.wav	1	24000	2	27840	1.16	55724
birdo.wav	1	24000	2	18240	0.76	36524
bis.wav	1	24000	2	16680	0.695	33404
biskvito.wav	1	24000	2	27840	1.16	55724
blanka.wav	1	24000	2	21960	0.915	43964
blasfemi.wav	1	24000	2	28680	1.195	57404
bleki.wav	1	24000	2	20040	0.835	40124
blinda.wav	1	24000	2	19200	0.8	38444
bloko.wav	1	24000	2	19800	0.825	39644
blonda.wav	1	24000	2	20280	0.845	40604
blovi.wav	1	24000	2	18840	0.785	37724
blua.wav	1	24000	2	17160	0.715	34364
bluzo.wav	1	24000	2	19560	0.815	39164
bo.wav	1	24000	2	11400	0.475	22844
boato.wav	1	24000	2	23160	0.965	46364
boji.wav	1	24000	2	18480	0.77	37004
boli.wav	1	24000	2	18000	0.75	36044
bombo.wav	1	24000	2	19440	0.81	38924
bombono.wav	1	24000	2	23640	0.985	47324
bon_voli.wav	1	24000	2	24720	1.03	49484
bona.wav	1	24000	2	18240	0.76	36524
bordo.wav	1	24000	2	19560	0.815	39164
bori.wav	1	24000	2	17520	0.73	35084
borso.wav	1	24000	2	21240	0.885	42524
botaniko.wav	1	24000	2	28080	1.17	56204
botelo.wav	1	24000	2	22920	0.955	45884
boto.wav	1	24000	2	18840	0.785	37724
botoj.wav	1	24000	2	20760	0.865	41564
bovlo.wav	1	24000	2	18960	0.79	37964
bovo.wav	1	24000	2	17400	0.725	34844
braceleto.wav	1	24000	2	32160	1.34	64364
brajlo.wav	1	24000	2	21360	0.89	42764
brak_umi.wav	1	24000	2	24000	1.0	48044
brako.wav	1	24000	2	20040	0.835	40124
brancxo.wav	1	24000	2	23520	0.98	47084
brando.wav	1	24000	2	21120	0.88	42284
brasiko.wav	1	24000	2	25200	1.05	50444
brava.wav	1	24000	2	19200	0.8	38444
bredi.wav	1	24000	2	19440	0.81	38924
bremso.wav	1	24000	2	23160	0.965	46364
breto.wav	1	24000	2	19200	0.8	38444
brido.wav	1	24000	2	18600	0.775	37244
briko.wav	1	24000	2	18360	0.765	36764
brili.wav	1	24000	2	19440	0.81	38924
brokanti.wav	1	24000	2	27840	1.16	55724
bronzo.wav	1	24000	2	22680	0.945	45404
broso.wav	1	24000	2	20640	0.86	41324
brosxuro.wav	1	24000	2	24120	1.005	48284
brovo.wav	1	24000	2	18720	0.78	37484
brui.wav	1	24000	2	17880	0.745	35804
bruli.wav	1	24000	2	18960	0.79	37964
bruna.wav	1	24000	2	18480	0.77	37004
brusto.wav	1	24000	2	21600	0.9	43244
bruto.wav	1	24000	2	18840	0.785	37724
bubo.wav	1	24000	2	15960	0.665	31964
bucxi.wav	1	24000	2	18840	0.785	37724
budgxeto.wav	1	24000	2	23760	0.99	47564
budho.wav	1	24000	2	18840	0.785	37724
budo.wav	1	24000	2	15960	0.665	31964
bugxeto.wav	1	24000	2	22560	0.94	45164
bukedo.wav	1	24000	2	22800	0.95	45644
buklo.wav	1	24000	2	19080	0.795	38204
buko.wav	1	24000	2	17040	0.71	34124
bulbo.wav	1	24000	2	17880	0.745	35804
bulko.wav	1	24000	2	18840	0.785	37724
bulo.wav	1	24000	2	15720	0.655	31484
bulteno.wav	1	24000	2	24840	1.035	49724
bulvardo.wav	1	24000	2	26040	1.085	52124
burgxo.wav	1	24000	2	18960	0.79	37964
burgxono.wav	1	24000	2	23400	0.975	46844
burokrato.wav	1	24000	2	27960	1.165	55964
buso.wav	1	24000	2	18000	0.75	36044
busxo.wav	1	24000	2	18000	0.75	36044
butero.wav	1	24000	2	22200	0.925	44444
butiko.wav	1	24000	2	22200	0.925	44444
butono.wav	1	24000	2	23040	0.96	46124
cedi.wav	1	24000	2	21960	0.915	43964
celebri.wav	1	24000	2	27240	1.135	54524
celo.wav	1	24000	2	21240	0.885	42524
cemento.wav	1	24000	2	28560	1.19	57164
cent.wav	1	24000	2	22680	0.945	45404
centimetro.wav	1	24000	2	31920	1.33	63884
centralo.wav	1	24000	2	28800	1.2	57644
centro.wav	1	24000	2	24360	1.015	48764
cepo.wav	1	24000	2	21600	0.9	43244
ceramiko.wav	1	24000	2	28920	1.205	57884
cerbo.wav	1	24000	2	22560	0.94	45164
ceremonio.wav	1	24000	2	33240	1.385	66524
certa.wav	1	24000	2	23880	0.995	47804
cervo.wav	1	24000	2	22320	0.93	44684
cetera.wav	1	24000	2	26040	1.085	52124
cifero.wav	1	24000	2	26160	1.09	52364
cigaredo.wav	1	24000	2	29160	1.215	58364
cigaro.wav	1	24000	2	26880	1.12	53804
cigno.wav	1	24000	2	22440	0.935	44924
cikado.wav	1	24000	2	27360	1.14	54764
cikatro.wav	1	24000	2	26520	1.105	53084
ciklo.wav	1	24000	2	22680	0.945	45404
cikonio.wav	1	24000	2	30000	1.25	60044
cinamo.wav	1	24000	2	26640	1.11	53324
cindro.wav	1	24000	2	22920	0.955	45884
cirkelo.wav	1	24000	2	27120	1.13	54284
cirklo.wav	1	24000	2	25680	1.07	51404
cirkonstanco.wav	1	24000	2	42360	1.765	84764
cirkulero.wav	1	24000	2	32280	1.345	64604
cirkuli.wav	1	24000	2	28200	1.175	56444
cirkvito.wav	1	24000	2	29640	1.235	59324
ciro.wav	1	24000	2	20640	0.86	41324
citi.wav	1	24000	2	22320	0.93	44684
citrono.wav	1	24000	2	26280	1.095	52604
civila.wav	1	24000	2	25800	1.075	51644
civilizi.wav	1	24000	2	31440	1.31	62924
civito.wav	1	24000	2	27000	1.125	54044
cxagreni.wav	1	24000	2	25800	1.075	51644
cxambro.wav	1	24000	2	22680	0.945	45404
cxampiono.wav	1	24000	2	30600	1.275	61244
cxapelo.wav	1	24000	2	25560	1.065	51164
cxapitro.wav	1	24000	2	24600	1.025	49244
cxapo.wav	1	24000	2	21000	0.875	42044
cxar.wav	1	24000	2	14160	0.59	28364
cxar_umo.wav	1	24000	2	22560	0.94	45164
cxarma.wav	1	24000	2	21240	0.885	42524
cxaro.wav	1	24000	2	19200	0.8	38444
cxasi.wav	1	24000	2	21240	0.885	42524
cxe.wav	1	24000	2	13080	0.545	26204
cxe_esti.wav	1	24000	2	27240	1.135	54524
cxef.wav	1	24000	2	16440	0.685	32924
cxeko.wav	1	24000	2	19680	0.82	39404
cxelo.wav	1	24000	2	19320	0.805	38684
cxemizo.wav	1	24000	2	24720	1.03	49484
cxeno.wav	1	24000	2	19320	0.805	38684
cxerizo.wav	1	24000	2	24240	1.01	48524
cxerko.wav	1	24000	2	21120	0.88	42284
cxerpi.wav	1	24000	2	20880	0.87	41804
cxesi.wav	1	24000	2	22080	0.92	44204
cxevalo.wav	1	24000	2	24840	1.035	49724
cxi.wav	1	24000	2	14400	0.6	28844
cxia.wav	1	24000	2	18000	0.75	36044
cxial.wav	1	24000	2	20520	0.855	41084
cxiam.wav	1	24000	2	21840	0.91	43724
cxie.wav	1	24000	2	17520	0.73	35084
cxiel.wav	1	24000	2	20640	0.86	41324
cxielo.wav	1	24000	2	23520	0.98	47084
cxies.wav	1	24000	2	25320	1.055	50684
cxifi.wav	1	24000	2	20400	0.85	40844
cxifono.wav	1	24000	2	25080	1.045	50204
cxio.wav	1	24000	2	17880	0.745	35804
cxiom.wav	1	24000	2	21120	0.88	42284
cxirkaux.wav	1	24000	2	22200	0.925	44444
cxiu.wav	1	24000	2	18840	0.785	37724
cxj.wav	1	24000	2	12960	0.54	25964
cxokolado.wav	1	24000	2	29280	1.22	58604
cxu.wav	1	24000	2	14160	0.59	28364
da.wav	1	24000	2	11280	0.47	22604
daktilo.wav	1	24000	2	24480	1.02	49004
damagxi.wav	1	24000	2	23880	0.995	47804
danci.wav	1	24000	2	21960	0.915	43964
dando.wav	1	24000	2	18960	0.79	37964
dangxero.wav	1	24000	2	22560	0.94	45164
danki.wav	1	24000	2	21960	0.915	43964
dato.wav	1	24000	2	19440	0.81	38924
dauxr_igi.wav	1	24000	2	23520	0.98	47084
dauxri.wav	1	24000	2	19920	0.83	39884
dauxro.wav	1	24000	2	18960	0.79	37964
de.wav	1	24000	2	11040	0.46	22124
de_pendi.wav	1	24000	2	24960	1.04	49964
de_teni_sin.wav	1	24000	2	36240	1.51	72524
debeto.wav	1	24000	2	23640	0.985	47324
decembro.wav	1	24000	2	26880	1.12	53804
deci.wav	1	24000	2	20520	0.855	41084
decidi.wav	1	24000	2	26640	1.11	53324
dedicxi.wav	1	24000	2	24480	1.02	49004
defendi.wav	1	24000	2	25320	1.055	50684
deficito.wav	1	24000	2	31320	1.305	62684
degeli.wav	1	24000	2	23640	0.985	47324
dejxori.wav	1	24000	2	23160	0.965	46364
dek.wav	1	24000	2	14760	0.615	29564
deklari.wav	1	24000	2	23520	0.98	47084
deklivo.wav	1	24000	2	24480	1.02	49004
dekoracio.wav	1	24000	2	31800	1.325	63644
dekstra.wav	1	24000	2	22920	0.955	45884
delegi.wav	1	24000	2	23640	0.985	47324
delikata.wav	1	24000	2	28920	1.205	57884
deliri.wav	1	24000	2	23160	0.965	46364
demandi.wav	1	24000	2	24720	1.03	49484
demokratio.wav	1	24000	2	30960	1.29	61964
densa.wav	1	24000	2	21840	0.91	43724
dento.wav	1	24000	2	21240	0.885	42524
denunci.wav	1	24000	2	25320	1.055	50684
deponi.wav	1	24000	2	24480	1.02	49004
deputi.wav	1	24000	2	24120	1.005	48284
des.wav	1	24000	2	18000	0.75	36044
desegni.wav	1	24000	2	26400	1.1	52844
deserto.wav	1	24000	2	26400	1.1	52844
destini.wav	1	24000	2	26640	1.11	53324
detala.wav	1	24000	2	25080	1.045	50204
detalo.wav	1	24000	2	24960	1.04	49964
determini.wav	1	24000	2	29160	1.215	58364
detrui.wav	1	24000	2	23520	0.98	47084
dev_ont_igi.wav	1	24000	2	30480	1.27	61004
devi.wav	1	24000	2	16920	0.705	33884
dezerto.wav	1	24000	2	25560	1.065	51164
deziri.wav	1	24000	2	23760	0.99	47564
diablo.wav	1	24000	2	23520	0.98	47084
dialekto.wav	1	24000	2	26280	1.095	52604
dialogo.wav	1	24000	2	25800	1.075	51644
diamanto.wav	1	24000	2	28320	1.18	56684
dianto.wav	1	24000	2	26280	1.095	52604
dieto.wav	1	24000	2	21960	0.915	43964
difekti.wav	1	24000	2	26280	1.095	52604
diferenci.wav	1	24000	2	30240	1.26	60524
difini.wav	1	24000	2	24000	1.0	48044
digesti.wav	1	24000	2	26280	1.095	52604
digno.wav	1	24000	2	18720	0.78	37484
dika.wav	1	24000	2	16680	0.695	33404
dikti.wav	1	24000	2	20160	0.84	40364
diligenta.wav	1	24000	2	28920	1.205	57884
dimancxo.wav	1	24000	2	25800	1.075	51644
dimensio.wav	1	24000	2	29160	1.215	58364
dinamito.wav	1	24000	2	26640	1.11	53324
dio.wav	1	24000	2	15480	0.645	31004
dio_dio.wav	1	24000	2	24720	1.03	49484
diplomato.wav	1	24000	2	30240	1.26	60524
diplomo.wav	1	24000	2	24000	1.0	48044
direkto.wav	1	24000	2	23040	0.96	46124
direktoro.wav	1	24000	2	27120	1.13	54284
diri.wav	1	24000	2	16800	0.7	33644
dis.wav	1	24000	2	16560	0.69	33164
disko.wav	1	24000	2	21000	0.875	42044
diskriminacio.wav	1	24000	2	40560	1.69	81164
diskuti.wav	1	24000	2	27000	1.125	54044
disponi.wav	1	24000	2	27240	1.135	54524
disputi.wav	1	24000	2	26280	1.095	52604
distanco.wav	1	24000	2	28440	1.185	56924
distingi.wav	1	24000	2	27000	1.125	54044
distri.wav	1	24000	2	22320	0.93	44684
distribui.wav	1	24000	2	31200	1.3	62444
distrikto.wav	1	24000	2	28680	1.195	57404
diveni.wav	1	24000	2	23520	0.98	47084
diversa.wav	1	24000	2	24720	1.03	49484
dividi.wav	1	24000	2	23040	0.96	46124
do.wav	1	24000	2	11040	0.46	22124
dogano.wav	1	24000	2	22080	0.92	44204
doktoro.wav	1	24000	2	24120	1.005	48284
dokumento.wav	1	24000	2	29880	1.245	59804
dolcxa.wav	1	24000	2	20760	0.865	41564
doloro.wav	1	24000	2	20880	0.87	41804
domagxi.wav	1	24000	2	22440	0.935	44924
domagxo.wav	1	24000	2	23160	0.965	46364
domo.wav	1	24000	2	17400	0.725	34844
donaco.wav	1	24000	2	25080	1.045	50204
doni.wav	1	24000	2	18720	0.78	37484
dorloti.wav	1	24000	2	24960	1.04	49964
dormi.wav	1	24000	2	18960	0.79	37964
dorno.wav	1	24000	2	17640	0.735	35324
dorso.wav	1	24000	2	20880	0.87	41804
dosiero.wav	1	24000	2	26400	1.1	52844
doto.wav	1	24000	2	18480	0.77	37004
dramo.wav	1	24000	2	19200	0.8	38444
drapo.wav	1	24000	2	19800	0.825	39644
drato.wav	1	24000	2	20280	0.845	40604
dresi.wav	1	24000	2	20880	0.87	41804
drinki.wav	1	24000	2	22680	0.945	45404
droni.wav	1	24000	2	20160	0.84	40364
du.wav	1	24000	2	12000	0.5	24044
dubi.wav	1	24000	2	16800	0.7	33644
dum.wav	1	24000	2	15000	0.625	30044
dungi.wav	1	24000	2	19320	0.805	38684
dusxo.wav	1	24000	2	17880	0.745	35804
e.wav	1	24000	2	8640	0.36	17324
ebena.wav	1	24000	2	21120	0.88	42284
ebl.wav	1	24000	2	12960	0.54	25964
ebla.wav	1	24000	2	16440	0.685	32924
ebria.wav	1	24000	2	20760	0.865	41564
ec.wav	1	24000	2	13680	0.57	27404
eco.wav	1	24000	2	17160	0.715	34364
ecx.wav	1	24000	2	13320	0.555	26684
eduki.wav	1	24000	2	21480	0.895	43004
edzo.wav	1	24000	2	17520	0.73	35084
efektiva.wav	1	24000	2	27840	1.16	55724
efekto.wav	1	24000	2	24120	1.005	48284
efiki.wav	1	24000	2	23400	0.975	46844
eg.wav	1	24000	2	11520	0.48	23084
egala.wav	1	24000	2	21840	0.91	43724
egoisto.wav	1	24000	2	25200	1.05	50444
ehxo.wav	1	24000	2	16440	0.685	32924
ej.wav	1	24000	2	12960	0.54	25964
ejo.wav	1	24000	2	16680	0.695	33404
ek.wav	1	24000	2	12360	0.515	24764
ekipi.wav	1	24000	2	20880	0.87	41804
eklezio.wav	1	24000	2	27480	1.145	55004
ekologio.wav	1	24000	2	29040	1.21	58124
ekonomiko.wav	1	24000	2	29160	1.215	58364
ekonomio.wav	1	24000	2	29040	1.21	58124
ekrano.wav	1	24000	2	20880	0.87	41804
eks.wav	1	24000	2	16680	0.695	33404
eksciti.wav	1	24000	2	27000	1.125	54044
ekskluziva.wav	1	24000	2	33960	1.415	67964
ekskursi.wav	1	24000	2	29880	1.245	59804
ekspedi.wav	1	24000	2	25800	1.075	51644
eksperimento.wav	1	24000	2	38040	1.585	76124
eksplodi.wav	1	24000	2	27000	1.125	54044
ekspluati.wav	1	24000	2	30840	1.285	61724
eksporti.wav	1	24000	2	27960	1.165	55964
ekspozicio.wav	1	24000	2	35640	1.485	71324
ekspreso.wav	1	24000	2	26640	1.11	53324
ekster.wav	1	24000	2	20400	0.85	40844
