PhraseID,old_file,new_file,status
1686,1531_cxu_vi_havas_modelon_de_vivresumo.wav,1531_cxu_vi_havas_formularon_por_vivresumo.wav,moved_to:1531_cxu_vi_havas_modelon_de_vivresumo.wav
1713,1558_cxi_tio_estas_via_laborokontrakto.wav,1558_cxi_tio_estas_via_laborkontrakto.wav,moved_to:1558_cxi_tio_estas_via_laborokontrakto.wav
1736,1581_mi_havas_15_jaran_sperton_laborante_kiel_flegistino.wav,1581_mi_havas_15_jaran_sperton_kiel_flegistino.wav,moved_to:1581_mi_havas_15_jaran_sperton_laborante_kiel_flegistino.wav
1767,1612_li_estas_fidinda_persono_kun_bona_humorsento.wav,1612_li_estas_fidinda_persono_kun_bona_humursento.wav,moved_to:1612_li_estas_fidinda_persono_kun_bona_humorsento.wav
1780,1625_kiun_mallongan_vojon_mi_povas_preni.wav,1625_kiun_sxparvojon_mi_povas_preni.wav,moved_to:1625_kiun_mallongan_vojon_mi_povas_preni.wav
1807,1652_cxu_vi_scias_kie_trovigxas_la_kanada_ambasadorejo.wav,1652_cxu_vi_scias_kie_trovigxas_la_kanada_ambasadejo.wav,moved_to:1652_cxu_vi_scias_kie_trovigxas_la_kanada_ambasadorejo.wav
1840,1685_vi_pli_bone_prenu_la_buson.wav,1685_vi_prefere_prenu_la_buson.wav,moved_to:1685_vi_pli_bone_prenu_la_buson.wav
1906,1751_kie_mi_povas_preni_la_navedbuson.wav,1751_kie_mi_povas_preni_la_navedan_buson.wav,moved_to:1751_kie_mi_povas_preni_la_navedbuson.wav
1978,1823_cxu_mi_povas_fari_la_transiron_en_la_sama_tago.wav,1823_cxu_mi_povas_sxangxi_aviadilon_en_la_sama_tago.wav,moved_to:1823_cxu_mi_povas_fari_la_transiron_en_la_sama_tago.wav
1989,1834_kiom_da_tempo_necesas_por_la_transsxangxo.wav,1834_kiom_da_tempo_necesas_por_sxangxi_aviadilon.wav,moved_to:1834_kiom_da_tempo_necesas_por_la_transsxangxo.wav
2044,1889_cxu_vi_enregistras_iun_bagagxon.wav,1889_cxu_vi_registrigas_iun_bagagxon.wav,moved_to:1889_cxu_vi_enregistras_iun_bagagxon.wav
