row	esperanto	column	matched_tokens	current
1577	serio	Japanese_Trans	paralelo	{Ｂ}連続, ひと続き, 続き物, シリーズ; 【化】系列; 【理】直列, >>paralelo; 【数】級数; 【地質】統（とう）
1591	signo	Japanese_Trans	karaktero	{Ｂ}しるし, 目印; 合図, 身ぶり; 記号, 符号; 【情】文字, =karaktero
1625	sonĝi	Japanese_Trans	pri	{Ｂ}［自・他］夢を見る（pri〜/ion）
1632	speciala	Japanese_Trans	aparta	{Ｂ}特別の, 特殊な, 専門の, >>aparta, >>faka
1641	spirito	Japanese_Trans	animo|fantomo|menso	{Ｂ}精神（霊魂）, 霊, 心; 魂, 霊魂, 亡霊; 精, 精霊; 気風, 気質, >>menso, >>animo, >>fantomo
1648	standardo	Japanese_Trans	flago	{Ｂ}（国家・軍隊などを象徴する）旗, 国旗, 軍旗, 連隊旗, 団旗; 《転》旗印, >>flago
1649	stango	Japanese_Trans	bastono|fosto|vergo	{Ｂ}棒（さすまた等）, さお, 柱, >>bastono, >>vergo, >>fosto
1652	stato	Japanese_Trans	situacio	{Ｂ}状態, 様子, 有様, 身分, >>situacio; 【化】（物質の）態（固体・液体・気体）
1659	stranga	Japanese_Trans	fremda|kurioza	{Ｂ}奇妙な, 変な, 不思議な, おかしい, 異様な, >>bizara, >>kurioza, >>originala, >>ekstravaganca, >>fremda
1665	studi	Japanese_Trans	esplori|lerni	{Ｂ}［他］研究する, 調べる, >>esplori; （学問を）勉強する, >>lerni
1672	sudo	Japanese_Trans	nordo	{Ｂ}南; 南部, 南方, ><nordo
1689	surtuto	Japanese_Trans	palto	{Ｂ}【服】オーバー（外套）, 外套（がいとう）, コート, >>palto, >>kaftano
1703	talio	Japanese_Trans	kokso|lumbo	{Ｂ}（人体・服の）胴, 胴体; 腰回り, 腰（のくびれた部分）, ウエスト, >>kokso, >>lumbo
1717	telero	Japanese_Trans	plado	{Ｂ}皿, 取り皿, >>plado; （皿に盛った）料理, 一品; 《転》皿状のもの
1727	teorio	Japanese_Trans	praktiko	{Ｂ}理論, ><praktiko; 学説, ～論; 空論, 理屈
1728	tereno	Japanese_Trans	kampo	{Ｂ}（特定用途に仕切られた）土地, 用地, 敷地, 区画, 地域, ～場; 地所; 《転》領域, 分野, 活動の場, 地歩, >>kampo; 【地質】地層
1743	timi	Japanese_Trans	antaŭ	{Ｂ}［他］恐れる, 怖がる, おびえる; 心配する, 危惧する, =antaŭ〜
1763	tragedio	Japanese_Trans	komedio	{Ｂ}【劇】悲劇, ><komedio; 《転》悲劇的事件
1767	trankvila	Japanese_Trans	kvieta	{Ｂ}（心が）平静な, 落ち着いた, 安らかな, 安心した, >>kvieta
1802	tusi	Japanese_Trans	terni	{Ｂ}［自］せきをする, >>terni; せき払いをする
1817	vagono	Japanese_Trans	lokomotivo	{Ｂ}【鉄】車両, >>lokomotivo
1831	vato	Japanese_Trans	kotono	{Ｂ}（衣類や寝具などに詰める）綿（わた）, 脱脂綿, >>kotono / 【理】ワット（仕事率・電力のSI単位，W）
1832	vazo	Japanese_Trans	kruĉo|pelvo|poto	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>poto, >>pelvo, >>kruĉo / 【解】（複合語で）脈管, =angio, >>sangovazo
