row	esperanto	flags	Japanese_Trans
1802	tusi	ja_contains_arrow_tilde	{Ｂ}［自］せきをする, >>〜; せき払いをする
1817	vagono	ja_contains_arrow_tilde	{Ｂ}【鉄】車両, >>〜
1831	vato	ja_contains_arrow_tilde	{Ｂ}（衣類や寝具などに詰める）綿（わた）, 脱脂綿, >>〜 / 【理】ワット（仕事率・電力のSI単位，W）
1832	vazo	ja_contains_arrow_tilde	{Ｂ}容器, うつわ, つぼ, かめ, 花びん, はち, >>〜, >>〜, >>〜 / 【解】（複合語で）脈管, =angio, >>sangovazo
1855	vetero	ja_contains_arrow_tilde	{Ｂ}【気】天候, 天気, >>〜
1860	viando	ja_contains_arrow_tilde	{Ｂ}【料】肉（食肉）, >>〜
1864	vigla	ja_contains_arrow_tilde	{Ｂ}活発な, 元気な, 快活な, 生き生きした, はつらつとした, >>〜, >>vivoplena, >>rapidaga; 油断のない, 警戒を怠らない, >>observema; 【商】活況の
1871	vipo	ja_contains_arrow_tilde	{Ｂ}（皮ひもなどを短い棒につけた）むち（鞭）, >>〜, >>skurĝo
1880	vojaĝi	ja_contains_eq_tilde	{Ｂ}［自］旅行する, 旅をする; （公務や外商で）出張する; （鳥などが）渡る, =〜; 《俗》（幻覚剤で）トリップする, 幻覚状態になる
1923	ĉielo	ja_contains_arrow_tilde	{Ｂ}空, 大空, 天, >>〜, >>firmamento; 【宗】天, 天国, >>〜
1930	ĉokolado	ja_contains_arrow_tilde	{Ｂ}【菓】チョコレート; 【料】ココア（飲料）, >>〜
1957	ŝati	ja_contains_eq_tilde	{Ｂ}［他］価値を認める, 高く評価する, 尊重する; 好む, 好く, 愛好する, =〜
1962	ŝinko	ja_contains_arrow_tilde	{Ｂ}【料】ハム, >>〜
1967	ŝmiri	ja_contains_arrow_tilde	{Ｂ}［他］（油などを）塗る, 塗布する; （機械などに）グリースを塗る, 油を差す, >>〜; 《転》買収する
